categoryId,categoryName,categoryPath
"13714","Ashtrays","Root > Collectibles > Casino > Casino Memorabilia > Ashtrays"
"35748","Glasses, Cups, Mugs","Root > Collectibles > Casino > Casino Memorabilia > Glasses, Cups, Mugs"
"63762","Hotel Room Keys","Root > Collectibles > Casino > Casino Memorabilia > Hotel Room Keys"
"66535","Other Casino Memorabilia","Root > Collectibles > Casino > Casino Memorabilia > Other Casino Memorabilia"
"73481","Matchbooks","Root > Collectibles > Casino > Casino Memorabilia > Matchbooks"
"73482","T-Shirts, Shirts","Root > Collectibles > Casino > Casino Memorabilia > T-Shirts, Shirts"
"73483","Watches","Root > Collectibles > Casino > Casino Memorabilia > Watches"
"82485","Signs","Root > Collectibles > Casino > Casino Memorabilia > Signs"
"73488","Manuals, Strategy","Root > Collectibles > Casino > Manuals, Strategy"
"73489","Roulette Wheels, Sets","Root > Collectibles > Casino > Roulette Wheels, Sets"
"150118","Card Guards","Root > Collectibles > Casino > Card Guards"
"907","Holiday & Seasonal","Root > Collectibles > Holiday & Seasonal"
"365","Other Holiday Collectibles","Root > Collectibles > Holiday & Seasonal > Other Holiday Collectibles"
"8953","Christmas Trees","Root > Collectibles > Holiday & Seasonal > Christmas Trees"
"34971","Wreaths, Garlands & Plants","Root > Collectibles > Holiday & Seasonal > Wreaths, Garlands & Plants"
"77986","Advent Calendars","Root > Collectibles > Holiday & Seasonal > Advent Calendars"
"77988","Ornaments","Root > Collectibles > Holiday & Seasonal > Ornaments"
"77994","Nativity Items","Root > Collectibles > Holiday & Seasonal > Nativity Items"
"77996","Nutcrackers","Root > Collectibles > Holiday & Seasonal > Nutcrackers"
"77998","Pyramids","Root > Collectibles > Holiday & Seasonal > Pyramids"
"78000","Incense Smokers","Root > Collectibles > Holiday & Seasonal > Incense Smokers"
"78004","Tree Stands & Skirts","Root > Collectibles > Holiday & Seasonal > Tree Stands & Skirts"
"261632","Candle Holders","Root > Collectibles > Holiday & Seasonal > Candle Holders"
"261633","Candles","Root > Collectibles > Holiday & Seasonal > Candles"
"261634","Cards & Postcards","Root > Collectibles > Holiday & Seasonal > Cards & Postcards"
"261635","Costumes","Root > Collectibles > Holiday & Seasonal > Costumes"
"261636","Figurines","Root > Collectibles > Holiday & Seasonal > Figurines"
"261637","Lanterns","Root > Collectibles > Holiday & Seasonal > Lanterns"
"261638","Lights","Root > Collectibles > Holiday & Seasonal > Lights"
"261639","Masks","Root > Collectibles > Holiday & Seasonal > Masks"
"261640","Noisemakers","Root > Collectibles > Holiday & Seasonal > Noisemakers"
"261641","Props","Root > Collectibles > Holiday & Seasonal > Props"
"261642","Snow Globes","Root > Collectibles > Holiday & Seasonal > Snow Globes"
